stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
36,EUFA,Eufaula,Eufaula,4,WNW,McIntosh,35.303240,-95.657070,200,East Central,STANDARD,0.066,0.368,0.02,1.71,1.62,0,36,53.2,10.8,Silt Loam,0.077,0.374,0.023,1.54,0.113,0.391,0.052,1.21,1.63,0,19.8,40,40.2,Silty Clay,0.098,0.333,0.063,1.29,1.78,0,19.3,52.5,28.2,Silty Clay Loam,0.102,0.331,0.058,1.29,1.8,0,14.1,56.4,29.5,Silty Clay Loam,19940101,20991231
141,EVAX,Eva,Eva,12,NE,Texas,36.921853,-101.781580,1065,Panhandle,STANDARD,0.078,0.435,0.137,1.33,1.29,0,23.4,52,24.6,Silt Loam,0.069,0.466,0.214,1.37,0.082,0.408,0.123,1.32,1.43,0,24,51.4,24.6,Silt Loam,0.136,0.391,0.171,1.23,1.59,0,21,38.2,40.8,Clay,0.109,0.365,0.063,1.19,1.71,0,22.4,41.1,36.5,Clay Loam,20160517,20991231
37,FAIR,Fairview,Fairview,1,W,Major,36.263530,-98.497660,405,North Central,STANDARD,0.053,0.394,0.103,1.4,1.34,0,18.6,51.7,29.8,Silty Clay Loam,0.057,0.394,0.093,1.4,0.067,0.394,0.069,1.4,1.42,0,17.8,47.8,34.4,Silty Clay Loam,0.087,0.4,0.103,1.3,1.47,0,13,43.5,43.5,Silty Clay,0.104,0.357,0.09,1.21,1.71,0,8,41.8,50.2,Silty Clay,19940101,20991231
127,FITT,Fittstown,Fittstown,6.3,SW,Pontotoc,34.552050,-96.717790,350,South Central,STANDARD,0.046,0.409,0.198,1.36,1.33,0,59,22.7,18.3,Sandy Loam,0.05,0.412,0.214,1.37,0.064,0.419,0.268,1.43,1.36,0,56.8,16.5,26.7,Sandy Clay Loam,0.107,0.349,0.063,1.15,1.73,0,48.1,1.9,50,Sandy Clay,0.093,0.365,0.051,1.19,1.76,0,57.1,0.6,42.3,Sandy Clay,20050512,20991231
38,FORA,Foraker,Foraker,8,ESE,Osage,36.840530,-96.427770,330,Northeast,STANDARD,0.054,0.446,0.09,1.4,1.15,0,46.2,34.2,19.6,Loam,0.055,0.437,0.092,1.39,0.061,0.412,0.105,1.36,1.36,0,45.3,28.6,26.1,Loam,0.065,0.363,0.062,1.35,1.64,0,58.9,17.1,24,Sandy Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
39,FREE,Freedom,Freedom,3,SSW,Woodward,36.725620,-99.142340,530,North Central,STANDARD,0.061,0.434,0.117,1.37,1.2,0.1,17.3,59.9,22.7,Silt Loam,0.059,0.438,0.131,1.37,0.052,0.449,0.179,1.37,1.06,0,15.5,59.9,24.6,Silt Loam,0.085,0.418,0.213,1.4,1.31,0,17.8,50.6,31.6,Silty Clay Loam,0.086,0.396,0.158,1.33,1.44,0,10.5,53.6,35.9,Silty Clay Loam,19940101,20991231
40,FTCB,Fort Cobb,Fort Cobb,4,NNW,Caddo,35.148870,-98.466070,422,Southwest,STANDARD,0.038,0.409,0.386,1.59,1.32,0,78.1,8.8,13.1,Sandy Loam,0.04,0.41,0.364,1.54,0.049,0.411,0.296,1.43,1.4,0,73,5,22,Sandy Clay Loam,0.043,0.336,0.244,1.39,1.73,0,77.4,3.8,18.9,Sandy Loam,0.036,0.285,0.226,1.36,1.93,0,79.3,6.9,13.8,Sandy Loam,19940101,20991231
41,GOOD,Goodwell,Goodwell,2,E,Texas,36.601830,-101.601300,997,Panhandle,STANDARD,0.07,0.414,0.131,1.33,1.37,0,36.6,34.6,28.8,Clay Loam,0.075,0.41,0.126,1.32,0.088,0.397,0.103,1.29,1.51,0,28.2,34,37.8,Clay Loam,0.078,0.441,0.316,1.73,1.19,0,34.8,29.4,35.8,Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
117,GRA2,Grandfield,Grandfield,3.3,W,Tillman,34.239444,-98.743583,341,Southwest,STANDARD,0.104,0.456,0.159,1.3,1.28,0,15.7,55.3,29,Silty Clay Loam,0.108,0.437,0.051,1.39,0.123,0.367,0.068,1.25,1.71,0,13.6,43.2,43.2,Silty Clay,0.12,0.34,0.071,1.23,1.8,0,16.9,41.9,41.2,Silty Clay,0.119,0.33,0.071,1.22,1.83,0,17.5,42.2,40.3,Silty Clay,19990401,20991231
42,GRAN,Grandfield,Grandfield,3,WNW,Tillman,34.239200,-98.739700,342,Southwest,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,19990316
